Date,ISM
31/01/2002,47.5
28/02/2002,50.7
31/03/2002,52.4
30/04/2002,52.4
31/05/2002,53.1
30/06/2002,53.6
31/07/2002,50.2
31/08/2002,50.3
30/09/2002,50.5
31/10/2002,49
30/11/2002,48.5
31/12/2002,51.6
31/01/2003,51.3
28/02/2003,48.8
31/03/2003,46.3
30/04/2003,46.1
31/05/2003,49
30/06/2003,49
31/07/2003,51
31/08/2003,53.2
30/09/2003,52.4
31/10/2003,55.2
30/11/2003,58.4
31/12/2003,60.1
31/01/2004,60.8
29/02/2004,59.9
31/03/2004,60.6
30/04/2004,60.6
31/05/2004,61.4
30/06/2004,60.5
31/07/2004,59.9
31/08/2004,58.5
30/09/2004,57.4
31/10/2004,56.3
30/11/2004,56.2
31/12/2004,57.2
31/01/2005,56.8
28/02/2005,55.5
31/03/2005,55.2
30/04/2005,52.2
31/05/2005,50.8
30/06/2005,52.4
31/07/2005,52.8
31/08/2005,52.4
30/09/2005,56.8
31/10/2005,57.2
30/11/2005,56.7
31/12/2005,55.1
31/01/2006,55
28/02/2006,55.8
31/03/2006,54.3
30/04/2006,55.2
31/05/2006,53.7
30/06/2006,52
31/07/2006,53
31/08/2006,53.7
30/09/2006,52.2
31/10/2006,51.4
30/11/2006,50.3
31/12/2006,51.4
31/01/2007,50.4
28/02/2007,54.1
31/03/2007,52.8
30/04/2007,52.7
31/05/2007,53.1
30/06/2007,54
31/07/2007,51.8
31/08/2007,52.2
30/09/2007,53.8
31/10/2007,52.8
30/11/2007,51.5
31/12/2007,50.1
31/01/2008,50.9
29/02/2008,48.8
31/03/2008,49.7
30/04/2008,48.5
31/05/2008,48.9
30/06/2008,49.9
31/07/2008,50.8
31/08/2008,50.1
30/09/2008,47.2
31/10/2008,38.2
30/11/2008,39
31/12/2008,34.5
31/01/2009,36.4
28/02/2009,36.6
31/03/2009,37.2
30/04/2009,39.9
31/05/2009,44.1
30/06/2009,46.3
31/07/2009,49.7
31/08/2009,53.4
30/09/2009,54.9
31/10/2009,57.6
30/11/2009,55.4
31/12/2009,55.8
31/01/2010,56.3
28/02/2010,55.5
31/03/2010,58.8
30/04/2010,58.1
31/05/2010,57.4
30/06/2010,56.5
31/07/2010,56.1
31/08/2010,56.4
30/09/2010,55.3
31/10/2010,56.9
30/11/2010,57.3
31/12/2010,56.6
31/01/2011,59.1
28/02/2011,59.2
31/03/2011,58.4
30/04/2011,57.9
31/05/2011,54.8
30/06/2011,55.8
31/07/2011,52.9
31/08/2011,52.6
30/09/2011,53.7
31/10/2011,51.4
30/11/2011,51.8
31/12/2011,53
31/01/2012,54.2
29/02/2012,53.3
31/03/2012,53.5
30/04/2012,55.2
31/05/2012,53.2
30/06/2012,49.5
31/07/2012,49.6
31/08/2012,49
30/09/2012,50.8
31/10/2012,50.5
30/11/2012,48
31/12/2012,50.1
31/01/2013,53.3
28/02/2013,54.2
31/03/2013,51.9
30/04/2013,51
31/05/2013,50.8
30/06/2013,51.1
31/07/2013,53.8
31/08/2013,54
30/09/2013,54.6
31/10/2013,54.6
30/11/2013,55.5
31/12/2013,56.5
31/01/2014,52.5
28/02/2014,55
31/03/2014,55.9
30/04/2014,56.6
31/05/2014,55.7
30/06/2014,55
31/07/2014,55.1
31/08/2014,56.3
30/09/2014,55.7
31/10/2014,56.2
30/11/2014,56.3
31/12/2014,55.7
31/01/2015,53.9
28/02/2015,53
31/03/2015,52.1
30/04/2015,51.9
31/05/2015,52.9
30/06/2015,52.5
31/07/2015,52
31/08/2015,50.2
30/09/2015,50.1
31/10/2015,49.1
30/11/2015,49.1
31/12/2015,48.7
31/01/2016,47.6
29/02/2016,49.2
31/03/2016,51
30/04/2016,51.3
31/05/2016,51.4
30/06/2016,52.2
31/07/2016,52.7
31/08/2016,49.8
30/09/2016,51.1
31/10/2016,51.8
30/11/2016,53.2
31/12/2016,54.4
31/01/2017,55.7
28/02/2017,57.7
31/03/2017,56.5
30/04/2017,55.8
31/05/2017,56.4
30/06/2017,56.2
31/07/2017,56.5
31/08/2017,58.4
30/09/2017,60
31/10/2017,58.6
30/11/2017,57.6
31/12/2017,59.7
31/01/2018,59.4
28/02/2018,60.9
31/03/2018,58.8
30/04/2018,58.6
31/05/2018,59
30/06/2018,59.9
31/07/2018,58.1
31/08/2018,60.5
30/09/2018,59.3
31/10/2018,58.1
30/11/2018,58.6
31/12/2018,54.9
31/01/2019,55.7
28/02/2019,54.4
31/03/2019,54.9
30/04/2019,53.6
31/05/2019,52.6
30/06/2019,51.5
31/07/2019,51
31/08/2019,48.5
30/09/2019,48.1
31/10/2019,48.1
30/11/2019,48.1
31/12/2019,47.9
31/01/2020,51.4
29/02/2020,50.1
31/03/2020,49
30/04/2020,41.8
31/05/2020,43.5
30/06/2020,52.6
31/07/2020,53.8
31/08/2020,55.4
30/09/2020,55.5
31/10/2020,58.7
30/11/2020,57.3
31/12/2020,60.2
31/01/2021,59.3
28/02/2021,60.8
31/03/2021,63.8
30/04/2021,61
31/05/2021,61.9
30/06/2021,61.1
31/07/2021,60
31/08/2021,59.6
30/09/2021,60.7
31/10/2021,60.4
30/11/2021,60.8
31/12/2021,58.6
31/01/2022,57.6
28/02/2022,58.4
31/03/2022,57
30/04/2022,55.9
31/05/2022,56.1
30/06/2022,53.1
31/07/2022,52.7
31/08/2022,52.9
30/09/2022,51
31/10/2022,50
30/11/2022,49
31/12/2022,48.4
31/01/2023,47.4
28/02/2023,47.7
31/03/2023,46.3
30/04/2023,47.1
31/05/2023,46.9
30/06/2023,46
31/07/2023,46.4
31/08/2023,47.6